season,match_name,home_team,away_team,bowling_team,venue,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs
2023,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0
2023,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nathan Ellis,3,0,27,1,9,8,2,1,0,2
2023,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0
2023,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Rishi Dhawan,1,0,15,0,15,2,2,1,0,0
2023,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Rahul Chahar,2,0,12,1,6,5,0,1,0,0
2023,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Harpreet Brar,1,0,7,0,7,3,1,0,0,0
2023,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Khaleel Ahmed,4,0,30,2,7.5,15,3,2,1,0
2023,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mukesh Kumar,4,0,34,0,8.5,5,0,2,1,0
2023,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chetan Sakariya,4,0,53,2,13.25,8,1,6,3,0
2023,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Axar Patel,4,0,38,1,9.5,8,1,3,0,0
2023,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kuldeep Yadav,4,0,35,1,8.75,7,0,3,0,0
2023,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kyle Mayers,1,0,7,0,7,3,1,0,1,0
2023,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Jaydev Unadkat,3,0,39,0,13,3,5,0,2,0
2023,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Krishnappa Gowtham,4,0,23,0,5.75,9,2,0,1,0
2023,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Avesh Khan,4,0,29,2,7.25,12,3,1,0,0
2023,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mark Wood,4,0,14,5,3.5,17,1,0,1,1
2023,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Ravi Bishnoi,4,0,31,2,7.75,8,3,1,0,0
2023,SRH v RR,SRH,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Bhuvneshwar Kumar,3,0,36,0,12,6,4,2,1,0
2023,SRH v RR,SRH,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Fazalhaq Farooqi,4,0,41,2,10.25,11,7,0,0,0
2023,SRH v RR,SRH,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Washington Sundar,3,0,32,0,10.66,5,1,3,0,0
2023,SRH v RR,SRH,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",T Natarajan,3,0,23,2,7.66,7,4,0,0,0
2023,SRH v RR,SRH,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Adil Rashid,4,0,33,0,8.25,6,1,2,0,0
2023,SRH v RR,SRH,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Umran Malik,3,0,32,1,10.66,4,4,1,1,0
2023,SRH v RR,SRH,RR,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Trent Boult,4,1,21,2,5.25,15,2,1,0,0
2023,SRH v RR,SRH,RR,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KM Asif,3,0,15,0,5,9,1,0,1,0
2023,SRH v RR,SRH,RR,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Jason Holder,3,0,16,1,5.33,10,1,1,0,0
2023,SRH v RR,SRH,RR,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Ravichandran Ashwin,4,0,27,1,6.75,10,1,1,2,0
2023,SRH v RR,SRH,RR,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Yuzvendra Chahal,4,0,17,4,4.25,11,0,0,0,0
2023,SRH v RR,SRH,RR,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Navdeep Saini,2,0,34,0,17,3,3,2,0,3
2023,RCB v MI,RCB,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",Mohammed Siraj,4,0,21,1,5.25,16,2,0,6,0
2023,RCB v MI,RCB,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",Reece Topley,2,0,14,1,7,7,3,0,0,0
2023,RCB v MI,RCB,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",Akash Deep,3,0,29,1,9.66,7,2,2,0,0
2023,RCB v MI,RCB,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",Harshal Patel,4,0,43,1,10.75,6,3,2,1,1
2023,RCB v MI,RCB,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",Karn Sharma,4,0,32,2,8,7,1,2,1,0
2023,RCB v MI,RCB,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",Michael Bracewell,2,0,16,1,8,6,3,0,0,0
2023,RCB v MI,RCB,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",Glenn Maxwell,1,0,16,0,16,0,1,1,1,0
2023,RCB v MI,RCB,MI,MI,"M.Chinnaswamy Stadium, Bengaluru",Jason Behrendorff,3,0,37,0,12.33,6,3,3,0,0
2023,RCB v MI,RCB,MI,MI,"M.Chinnaswamy Stadium, Bengaluru",Arshad Khan,2.2,0,28,1,12,7,2,2,4,0
2023,RCB v MI,RCB,MI,MI,"M.Chinnaswamy Stadium, Bengaluru",Jofra Archer,4,0,33,0,8.25,10,2,2,0,0
2023,RCB v MI,RCB,MI,MI,"M.Chinnaswamy Stadium, Bengaluru",Piyush Chawla,4,0,26,0,6.5,11,2,1,0,0
2023,RCB v MI,RCB,MI,MI,"M.Chinnaswamy Stadium, Bengaluru",Cameron Green,2,0,30,1,15,4,2,3,0,0
2023,RCB v MI,RCB,MI,MI,"M.Chinnaswamy Stadium, Bengaluru",Hrithik Shokeen,1,0,17,0,17,0,0,2,0,0
2023,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Kyle Mayers,2,0,16,0,8,1,1,0,1,0
2023,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Avesh Khan,3,0,39,1,13,4,6,0,1,0
2023,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Krunal Pandya,2,0,21,0,10.5,4,1,2,0,0
2023,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Krishnappa Gowtham,1,0,20,0,20,2,0,3,0,0
2023,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Mark Wood,4,0,49,3,12.25,9,3,5,0,0
2023,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Yash Thakur,4,0,36,0,9,4,3,1,0,1
2023,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Ravi Bishnoi,4,0,28,3,7,13,1,2,1,0
2023,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Deepak Chahar,4,0,55,0,13.75,6,7,1,5,0
2023,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Ben Stokes,1,0,18,0,18,0,2,1,0,0
2023,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Tushar Deshpande,4,0,45,2,11.25,7,2,2,4,3
2023,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Moeen Ali,4,0,26,4,6.5,10,0,1,1,0
2023,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Mitchell Santner,4,0,21,1,5.25,9,0,1,0,0
2023,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Rajvardhan Hangargekar,2,0,24,0,12,4,2,1,3,0
2023,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Ravindra Jadeja,1,0,14,0,14,2,0,2,0,0
2023,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Mohammed Shami,4,0,41,3,10.25,15,5,1,4,0
2023,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Josh Little,4,0,27,0,6.75,11,2,1,0,0
2023,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Hardik Pandya,3,0,18,0,6,6,2,0,0,0
2023,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Alzarri Joseph,4,0,29,2,7.25,13,3,1,1,0
2023,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Yash Dayal,1,0,12,0,12,0,0,1,0,0
2023,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Rashid Khan,4,0,31,3,7.75,9,2,2,0,0
2023,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Khaleel Ahmed,4,0,38,1,9.5,9,5,1,1,0
2023,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Mukesh Kumar,4,0,42,0,10.5,8,5,2,1,0
2023,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Anrich Nortje,4,0,39,2,9.75,9,3,2,0,2
2023,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Mitchell Marsh,3.1,0,24,1,7.57,4,1,0,1,0
2023,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Kuldeep Yadav,3,0,18,0,6,5,1,0,1,0
2023,RR v PBKS,RR,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Trent Boult,4,0,38,0,9.5,8,3,2,1,0
2023,RR v PBKS,RR,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",KM Asif,4,0,54,0,13.5,7,5,3,3,1
2023,RR v PBKS,RR,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Ravichandran Ashwin,4,0,25,1,6.25,7,2,0,1,0
2023,RR v PBKS,RR,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Jason Holder,4,0,29,2,7.25,7,2,1,0,0
2023,RR v PBKS,RR,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Yuzvendra Chahal,4,0,50,1,12.5,5,7,1,1,0
2023,RR v PBKS,RR,PBKS,PBKS,"Barsapara Cricket Stadium, Guwahati",Sam Curran,4,0,44,0,11,7,3,3,0,0
2023,RR v PBKS,RR,PBKS,PBKS,"Barsapara Cricket Stadium, Guwahati",Arshdeep Singh,4,0,47,2,11.75,10,4,3,3,0
2023,RR v PBKS,RR,PBKS,PBKS,"Barsapara Cricket Stadium, Guwahati",Harpreet Brar,2,0,15,0,7.5,5,2,0,0,0
2023,RR v PBKS,RR,PBKS,PBKS,"Barsapara Cricket Stadium, Guwahati",Nathan Ellis,4,0,30,4,7.5,11,2,2,0,0
2023,RR v PBKS,RR,PBKS,PBKS,"Barsapara Cricket Stadium, Guwahati",Rahul Chahar,4,0,31,0,7.75,5,1,1,0,0
2023,RR v PBKS,RR,PBKS,PBKS,"Barsapara Cricket Stadium, Guwahati",Sikandar Raza,2,0,24,0,12,2,1,1,2,0
2023,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Mohammed Siraj,4,0,44,1,11,13,6,1,3,1
2023,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",David Willey,4,1,16,2,4,15,2,0,1,0
2023,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Akash Deep,2,0,30,0,15,4,2,2,1,2
2023,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Michael Bracewell,3,0,34,1,11.33,3,1,3,0,0
2023,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Shahbaz Ahmed,1,0,6,0,6,3,1,0,0,0
2023,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Karn Sharma,3,0,26,2,8.66,6,2,1,0,0
2023,KKR v RCB,KKR,RCB,RCB,"Eden Gardens, Kolkata",Harshal Patel,3,0,38,1,12.66,5,4,2,1,0
2023,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Umesh Yadav,2,0,17,0,8.5,5,3,0,0,0
2023,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Tim Southee,2,0,25,0,12.5,5,2,2,0,0
2023,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Sunil Narine,4,0,16,2,4,12,1,0,0,0
2023,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Varun Chakravarthy,3.4,0,15,4,4.09,13,2,0,0,0
2023,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Suyash Sharma,4,0,30,3,7.5,11,2,2,1,0
2023,KKR v RCB,KKR,RCB,KKR,"Eden Gardens, Kolkata",Shardul Thakur,2,0,15,1,7.5,4,2,0,0,0
2023,LSG v SRH,LSG,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kyle Mayers,1,0,5,0,5,1,0,0,0,0
2023,LSG v SRH,LSG,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Jaydev Unadkat,3,0,26,0,8.66,9,0,3,1,0
2023,LSG v SRH,LSG,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Krunal Pandya,4,0,18,3,4.5,15,3,0,0,0
2023,LSG v SRH,LSG,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Yash Thakur,3,0,23,1,7.66,6,3,0,0,0
2023,LSG v SRH,LSG,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Ravi Bishnoi,4,0,16,1,4,10,0,0,1,0
2023,LSG v SRH,LSG,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Deepak Hooda,1,0,8,0,8,1,1,0,0,0
2023,LSG v SRH,LSG,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Amit Mishra,4,0,23,2,5.75,10,3,0,0,0
2023,LSG v SRH,LSG,SRH,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bhuvneshwar Kumar,2,0,19,1,9.5,7,1,1,1,0
2023,LSG v SRH,LSG,SRH,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Washington Sundar,1,0,11,0,11,1,2,0,0,0
2023,LSG v SRH,LSG,SRH,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Fazalhaq Farooqi,3,0,13,1,4.33,12,2,0,1,0
2023,LSG v SRH,LSG,SRH,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Aiden Markram,2,0,14,0,7,5,2,0,0,0
2023,LSG v SRH,LSG,SRH,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Adil Rashid,3,0,23,2,7.66,8,2,1,0,0
2023,LSG v SRH,LSG,SRH,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",T Natarajan,3,0,23,0,7.66,7,1,1,1,0
2023,LSG v SRH,LSG,SRH,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Umran Malik,2,0,22,1,11,7,3,0,2,0
2023,RR v DC,RR,DC,DC,"Barsapara Cricket Stadium, Guwahati",Khaleel Ahmed,2,0,31,0,15.5,3,6,0,2,0
2023,RR v DC,RR,DC,DC,"Barsapara Cricket Stadium, Guwahati",Anrich Nortje,4,0,44,0,11,10,6,2,0,0
2023,RR v DC,RR,DC,DC,"Barsapara Cricket Stadium, Guwahati",Mukesh Kumar,4,0,36,2,9,8,3,2,0,0
2023,RR v DC,RR,DC,DC,"Barsapara Cricket Stadium, Guwahati",Axar Patel,4,0,38,0,9.5,6,5,1,0,0
2023,RR v DC,RR,DC,DC,"Barsapara Cricket Stadium, Guwahati",Kuldeep Yadav,4,0,31,1,7.75,8,2,1,0,0
2023,RR v DC,RR,DC,DC,"Barsapara Cricket Stadium, Guwahati",Rovman Powell,2,0,18,1,9,4,1,1,1,1
2023,RR v DC,RR,DC,RR,"Barsapara Cricket Stadium, Guwahati",Trent Boult,4,1,29,3,7.25,11,5,0,0,0
2023,RR v DC,RR,DC,RR,"Barsapara Cricket Stadium, Guwahati",Sandeep Sharma,4,0,20,1,5,11,2,0,1,0
2023,RR v DC,RR,DC,RR,"Barsapara Cricket Stadium, Guwahati",Ravichandran Ashwin,4,0,25,2,6.25,10,2,0,3,0
2023,RR v DC,RR,DC,RR,"Barsapara Cricket Stadium, Guwahati",Jason Holder,3,0,28,0,9.33,4,4,0,1,0
2023,RR v DC,RR,DC,RR,"Barsapara Cricket Stadium, Guwahati",Yuzvendra Chahal,4,0,27,3,6.75,8,2,0,2,0
2023,RR v DC,RR,DC,RR,"Barsapara Cricket Stadium, Guwahati",Murugan Ashwin,1,0,11,0,11,0,0,0,0,1
2023,MI v CSK,MI,CSK,CSK,"Wankhede Stadium, Mumbai",Deepak Chahar,1,0,10,0,10,2,2,0,0,0
2023,MI v CSK,MI,CSK,CSK,"Wankhede Stadium, Mumbai",Tushar Deshpande,3,0,31,2,10.33,9,2,3,1,0
2023,MI v CSK,MI,CSK,CSK,"Wankhede Stadium, Mumbai",Sisanda Magala,4,0,37,1,9.25,4,5,0,0,0
2023,MI v CSK,MI,CSK,CSK,"Wankhede Stadium, Mumbai",Mitchell Santner,4,0,28,2,7,6,3,0,0,0
2023,MI v CSK,MI,CSK,CSK,"Wankhede Stadium, Mumbai",Ravindra Jadeja,4,0,20,3,5,9,0,1,0,0
2023,MI v CSK,MI,CSK,CSK,"Wankhede Stadium, Mumbai",Dwaine Pretorius,4,0,28,0,7,9,3,0,4,0
2023,MI v CSK,MI,CSK,MI,"Wankhede Stadium, Mumbai",Jason Behrendorff,3,0,24,1,8,9,2,1,1,0
2023,MI v CSK,MI,CSK,MI,"Wankhede Stadium, Mumbai",Arshad Khan,2.1,0,35,0,16.15,2,5,1,3,0
2023,MI v CSK,MI,CSK,MI,"Wankhede Stadium, Mumbai",Cameron Green,3,0,20,0,6.66,6,0,1,1,0
2023,MI v CSK,MI,CSK,MI,"Wankhede Stadium, Mumbai",Piyush Chawla,4,0,33,1,8.25,8,5,0,0,0
2023,MI v CSK,MI,CSK,MI,"Wankhede Stadium, Mumbai",Kumar Kartikeya,4,0,24,1,6,6,0,1,0,0
2023,MI v CSK,MI,CSK,MI,"Wankhede Stadium, Mumbai",Hrithik Shokeen,2,0,19,0,9.5,4,2,1,0,0
2023,GT v KKR,GT,KKR,KKR,"Narendra Modi Stadium, Motera, Ahmedabad",Umesh Yadav,3,0,24,0,8,7,4,0,1,0
2023,GT v KKR,GT,KKR,KKR,"Narendra Modi Stadium, Motera, Ahmedabad",Shardul Thakur,3,0,40,0,13.33,4,3,3,1,0
2023,GT v KKR,GT,KKR,KKR,"Narendra Modi Stadium, Motera, Ahmedabad",Lockie Ferguson,4,0,40,0,10,8,3,2,1,1
2023,GT v KKR,GT,KKR,KKR,"Narendra Modi Stadium, Motera, Ahmedabad",Sunil Narine,4,0,33,3,8.25,8,3,1,1,0
2023,GT v KKR,GT,KKR,KKR,"Narendra Modi Stadium, Motera, Ahmedabad",Varun Chakravarthy,2,0,27,0,13.5,1,2,1,1,0
2023,GT v KKR,GT,KKR,KKR,"Narendra Modi Stadium, Motera, Ahmedabad",Suyash Sharma,4,0,35,1,8.75,6,3,0,1,0
2023,GT v KKR,GT,KKR,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Mohammed Shami,4,0,28,1,7,10,2,1,0,0
2023,GT v KKR,GT,KKR,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Josh Little,4,0,45,1,11.25,9,4,3,3,0
2023,GT v KKR,GT,KKR,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Alzarri Joseph,4,0,27,2,6.75,14,2,2,0,0
2023,GT v KKR,GT,KKR,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Yash Dayal,4,0,69,0,17.25,4,3,8,0,0
2023,GT v KKR,GT,KKR,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Rashid Khan,4,0,37,3,9.25,6,4,1,0,0
2023,SRH v PBKS,SRH,PBKS,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Bhuvneshwar Kumar,4,0,33,1,8.25,13,6,0,3,0
2023,SRH v PBKS,SRH,PBKS,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Marco Jansen,3,1,16,2,5.33,14,2,1,1,0
2023,SRH v PBKS,SRH,PBKS,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",T Natarajan,4,0,40,0,10,10,3,3,0,0
2023,SRH v PBKS,SRH,PBKS,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Washington Sundar,1,0,6,0,6,3,1,0,0,0
2023,SRH v PBKS,SRH,PBKS,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mayank Markande,4,0,15,4,3.75,15,2,0,0,0
2023,SRH v PBKS,SRH,PBKS,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Umran Malik,4,0,32,2,8,14,3,2,1,0
2023,SRH v PBKS,SRH,PBKS,PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sam Curran,3,0,14,0,4.66,8,1,0,0,0
2023,SRH v PBKS,SRH,PBKS,PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Arshdeep Singh,3,0,20,1,6.66,10,4,0,0,0
2023,SRH v PBKS,SRH,PBKS,PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Harpreet Brar,3.1,0,26,0,8.21,8,5,0,0,0
2023,SRH v PBKS,SRH,PBKS,PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Nathan Ellis,3,0,28,0,9.33,5,5,0,0,0
2023,SRH v PBKS,SRH,PBKS,PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rahul Chahar,3,0,28,1,9.33,8,4,1,0,0
2023,SRH v PBKS,SRH,PBKS,PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mohit Rathee,2,0,29,0,14.5,3,3,2,0,0
2023,RCB v LSG,RCB,LSG,LSG,"M.Chinnaswamy Stadium, Bengaluru",Jaydev Unadkat,2,0,27,0,13.5,3,2,2,1,0
2023,RCB v LSG,RCB,LSG,LSG,"M.Chinnaswamy Stadium, Bengaluru",Avesh Khan,4,0,53,0,13.25,8,5,4,0,0
2023,RCB v LSG,RCB,LSG,LSG,"M.Chinnaswamy Stadium, Bengaluru",Krunal Pandya,4,0,35,0,8.75,5,2,2,0,0
2023,RCB v LSG,RCB,LSG,LSG,"M.Chinnaswamy Stadium, Bengaluru",Mark Wood,4,1,32,1,8,12,1,3,2,0
2023,RCB v LSG,RCB,LSG,LSG,"M.Chinnaswamy Stadium, Bengaluru",Ravi Bishnoi,4,0,39,0,9.75,5,1,3,1,0
2023,RCB v LSG,RCB,LSG,LSG,"M.Chinnaswamy Stadium, Bengaluru",Amit Mishra,2,0,18,1,9,2,1,1,0,0
2023,RCB v LSG,RCB,LSG,RCB,"M.Chinnaswamy Stadium, Bengaluru",Mohammed Siraj,4,0,22,3,5.5,16,3,0,4,0
